date,train_window_days,top,diversity_prefix,max_per_bucket,alpha,train_bucket,target_buckets,use_pairs,use_posdigit,w_posdigit,posdigit_positions,posdigit_alpha,w_digits,w_pairs,train_n_obs,hits_count,any_hit,hits,picks
2025-01-26,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,33,0,0,,"3864,4864,2064,3892,2264,4264,4892,2092,1164,3564,2764,4164,2292,4292,1864,1192,3592,4064,6164,2792,1564,4192,4364,1892,4092,6192,1592,0364,4392,2864,0392,1664,2164,2564,4564,9564,0764,2892,3164,1692,2192,2592,4592,9592,2364,4764,6664,0792,1064,1264,3064,3264,8564,0864,6864,3192,0164,0564,1364,1764,3364,3764,6564,2664,4664,2392,4792,6692,1092,1292,3092,3292,8592,9864,0064,0264,0892,6064,6264,6892,3664,9164,0192,0592,1392,1792,3392,3792,6592,2692,4692,6364,6764,2464,4464,9064,9264,9464,9892,0092,0292,6092,6292,8864,3692,9192,0664,9364,9764,6392,6792,1464,3464,8164,9492,2492,4492,9092,9292,8064,8264,8892,9664,0692,9392,9792,1492,3492,8192,0464,6464,8364,8764,8092,8292,9692,2964,4964,8664,0492,6492,8392,8792,5864,7864,1964,3964,5164,5564,7164,7564,2992,4992,8692,5064,5264,5892,7064,7264,7892,8464,1992,3992,5192,5592,7192,7592,0964,5364,5764,6964,7364,7764,5092,5292,7092,7292,8492,5664,7664,9964,0992,5392,5792,6992,7392,7792,5692,7692,9992,5464,7464,8964,5492,7492,8992,5964,7964,5992,7992"
2025-01-28,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,36,0,0,,"3855,3864,4855,4864,2055,2064,1155,1164,3555,3564,2255,2264,2755,2764,4255,4264,0355,0364,1555,1564,1855,1864,4155,4164,4055,4064,4355,4364,6155,6164,1755,1764,0755,0764,1655,1664,2555,2564,2855,2864,4555,4564,9555,9564,2155,2164,2355,2364,4755,4764,3155,3164,0555,0564,0855,0864,1055,1064,1255,1264,1355,1364,7555,7564,8555,8564,6655,6664,0155,0164,3055,3064,3255,3264,3355,3364,3755,3764,6555,6564,6855,6864,0055,0064,0255,0264,2655,2664,4655,4664,9855,9864,6055,6064,6255,6264,6355,6364,6755,6764,3655,3664,9155,9164,2455,2464,4455,4464,0655,0664,9055,9064,9255,9264,9355,9364,9455,9464,9755,9764,1455,1464,7855,7864,8855,8864,3455,3464,7155,7164,8155,8164,0455,0464,7055,7064,7255,7264,7355,7364,7755,7764,8055,8064,8255,8264,8355,8364,8755,8764,9655,9664,6455,6464,2955,2964,4955,4964,7655,7664,8655,8664,1955,1964,5555,5564,5855,5864,3955,3964,5155,5164,0955,0964,5055,5064,5255,5264,5355,5364,5755,5764,7455,7464,8455,8464,6955,6964,5655,5664,9955,9964,5455,5464,7955,7964,8955,8964,5955,5964"
2025-01-29,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,39,0,0,,"3854,3855,2054,2055,3554,3555,4854,4855,2754,2755,1154,1155,0354,0355,2254,2255,4254,4255,1554,1555,1854,1855,3354,3355,3754,3755,4054,4055,4154,4155,4354,4355,1754,1755,6154,6155,0754,0755,1654,1655,2554,2555,2854,2855,4554,4555,9554,9555,2154,2155,2354,2355,3054,3055,3154,3155,4754,4755,1054,1055,1354,1355,3254,3255,0554,0555,0854,0855,1254,1255,7554,7555,8554,8555,6654,6655,0054,0055,0154,0155,5054,5055,6554,6555,6854,6855,0254,0255,6054,6055,6354,6355,6754,6755,2654,2655,3654,3655,4654,4655,9854,9855,6254,6255,9054,9055,9154,9155,9354,9355,9754,9755,0654,0655,2454,2455,3454,3455,4454,4455,9254,9255,9454,9455,1454,1455,5554,5555,5854,5855,7854,7855,8854,8855,5154,5155,5354,5355,5754,5755,7054,7055,7154,7155,7354,7355,7754,7755,8054,8055,8154,8155,8354,8355,8754,8755,0454,0455,5254,5255,7254,7255,8254,8255,9654,9655,6454,6455,2954,2955,3954,3955,4954,4955,5654,5655,7654,7655,8654,8655,1954,1955,0954,0955,5454,5455,7454,7455,8454,8455,6954,6955,9954,9955,5954,5955,7954,7955,8954,8955"
2025-02-01,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,42,0,0,,"3852,3869,4852,4869,2052,2069,2752,2769,3552,3569,4252,4269,0352,0369,4352,4369,4752,4769,1152,1169,2252,2269,4052,4069,4152,4169,3352,3369,3752,3769,1552,1569,1752,1769,1852,1869,6152,6169,0752,0769,6352,6369,4452,4469,4552,4569,1652,1669,2352,2369,2552,2569,2852,2869,9552,9569,1352,1369,2152,2169,3052,3069,3152,3169,1052,1069,3252,3269,6652,6669,0552,0569,0852,0869,1252,1269,6552,6569,6752,6769,6852,6869,7552,7569,8552,8569,5052,5069,0052,0069,0152,0169,6052,6069,4652,4669,0252,0269,6252,6269,2452,2469,2652,2669,3452,3469,3652,3669,9452,9469,1452,1469,9352,9369,9752,9769,9852,9869,9052,9069,9152,9169,0452,0469,0652,0669,6452,6469,9252,9269,5352,5369,5552,5569,5752,5769,5852,5869,7352,7369,7752,7769,7852,7869,8352,8369,8752,8769,8852,8869,5152,5169,7052,7069,7152,7169,8052,8069,8152,8169,5252,5269,7252,7269,8252,8269,9652,9669,4952,4969,2952,2969,3952,3969,5452,5469,5652,5669,7452,7469,7652,7669,8452,8469,8652,8669,1952,1969,0952,0969,6952,6969,9952,9969,5952,5969,7952,7969,8952,8969"
2025-02-02,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,45,0,0,,"4264,4269,3864,3869,4864,4869,2064,2069,1864,1869,0364,0369,2764,2769,3564,3569,1164,1169,2264,2269,4064,4069,4364,4369,4764,4769,4164,4169,1564,1569,1764,1769,3364,3369,3764,3769,6164,6169,0064,0069,0764,0769,6364,6369,4464,4469,4564,4569,1664,1669,2864,2869,1064,1069,1364,1369,2364,2369,2564,2569,3064,3069,9564,9569,0864,0869,1264,1269,2164,2169,3164,3169,3264,3269,0564,0569,6664,6669,6864,6869,0164,0169,0264,0269,5064,5069,6064,6069,6564,6569,6764,6769,7564,7569,8564,8569,4664,4669,6264,6269,1464,1469,2464,2469,2664,2669,3464,3469,3664,3669,9464,9469,9864,9869,9064,9069,9364,9369,9764,9769,0464,0469,0664,0669,9164,9169,9264,9269,5864,5869,6464,6469,7864,7869,8864,8869,5364,5369,5564,5569,5764,5769,7064,7069,7364,7369,7764,7769,8064,8069,8364,8369,8764,8769,5164,5169,5264,5269,7164,7169,7264,7269,8164,8169,8264,8269,9664,9669,4964,4969,1964,1969,2964,2969,3964,3969,5464,5469,5664,5669,7464,7469,7664,7669,8464,8469,8664,8669,0964,0969,6964,6969,9964,9969,5964,5969,7964,7969,8964,8969"
2025-02-04,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,48,0,0,,"3864,3854,4264,4064,4864,4254,2064,4054,4854,2054,3564,1864,3554,1854,0364,1164,2764,4164,4364,4764,0354,1154,2754,2264,4154,4354,4754,3164,3364,3764,2254,3154,3354,3754,1564,1764,6164,6154,1554,1754,0064,0054,0764,3664,0754,3654,6364,4464,1664,6354,4454,4564,3064,1654,4554,3054,1064,2864,3264,1054,2854,1364,2164,2364,2564,9564,6664,3254,1354,2154,2354,2554,9554,6654,0864,1264,4664,0854,1254,4654,0164,0564,5064,6064,6864,0154,0554,0264,5054,6054,6854,6564,6764,7564,8564,0254,2664,6554,6754,7554,8554,6264,3464,2654,6254,3454,0664,1464,2464,9064,9864,9464,0654,1454,2454,9054,9454,9854,9164,9364,9764,9154,9354,9754,0464,9264,0454,9254,5864,6464,7064,7864,8064,8864,5854,6454,7054,7854,8054,8854,5164,5364,5564,5764,7164,7364,7764,8164,8364,8764,9664,5154,5354,5554,5754,7154,7354,7754,8154,8354,8754,5264,7264,8264,9654,5254,7254,8254,4964,5664,7664,8664,4954,3964,5654,7654,8654,3954,1964,2964,5464,7464,8464,1954,2954,5454,7454,8454,0964,0954,6964,6954,9964,9954,5964,7964,8964,5954,7954,8954"
2025-02-05,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,51,0,0,,"4269,3869,0369,4069,4869,2069,4264,3864,1869,0364,3569,4064,4864,2064,1169,4369,2269,2769,1864,4169,4769,3564,3369,1164,1669,3169,3769,4364,2264,2764,1569,1769,4164,4764,3364,0069,6169,1664,3164,3764,3669,0769,1564,1764,0064,6164,6369,3664,0764,4469,4569,6364,3069,1069,1369,3269,4464,6669,5069,2369,2869,1269,4564,4669,3064,0869,2169,2569,5269,9569,1064,1364,3264,6664,0169,0269,0569,5064,2364,2864,1264,4664,0864,2164,2564,5264,9564,2669,6069,6869,0164,0264,0564,0669,6269,6569,6769,7569,8569,2664,6064,6864,3469,1469,0664,6264,6564,6764,7564,8564,2469,5369,5869,9069,9369,9469,9869,3464,0469,5169,5569,5769,9169,9269,9769,1464,2464,5364,5864,9064,9364,9464,9864,0464,5164,5564,5764,9164,9264,9764,5669,6469,7069,7369,7869,8069,8369,8869,9669,7169,7269,7769,8169,8269,8769,5664,6464,7064,7364,7864,8064,8364,8864,9664,7164,7264,7764,8164,8264,8764,7669,8669,5469,4969,7664,8664,3969,5464,1969,4964,2969,7469,8469,3964,0969,1964,2964,7464,8464,0964,6969,6964,5969,9969,5964,9964,7969,8969,7964,8964"
2025-02-08,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,54,0,0,,"4269,3869,4264,3892,0369,3169,4069,4869,2069,3569,0392,3192,4092,4892,1169,1869,2269,2064,3592,3269,3369,4169,4369,1192,1892,2292,2769,3264,3769,4769,3392,4192,4392,2792,1669,3764,4764,6169,1569,1769,3669,1664,0069,6192,1592,1792,0769,3692,0064,0764,6369,9269,4469,3069,6364,4569,1269,9264,3064,4464,9569,1069,1369,5269,6669,4564,1264,2169,2369,2869,5069,0269,9564,4669,1064,1364,5264,6664,0169,0869,2569,2164,2364,2864,5064,0264,0569,4664,0164,0864,2564,6269,0564,2669,6069,6869,6264,0669,6569,6769,7569,8569,3469,2664,6064,6864,9069,9169,9369,9469,9869,0664,6564,6764,7564,8564,3464,9769,1469,9064,9164,9364,9464,9864,2469,5169,5369,5869,9764,1464,0469,5569,5769,9669,2464,5164,5364,5864,0464,5564,5764,9664,7269,8269,5669,6469,7069,7169,7369,7869,8069,8169,8369,8869,7264,8264,7769,8769,5664,6464,7064,7164,7364,7864,8064,8164,8364,8864,7764,8764,7669,8669,5469,3969,4969,7664,8664,5464,3964,4964,1969,2969,7469,8469,1964,0969,2964,7464,8464,0964,6969,6964,9969,9964,5969,5964,7969,8969,7964,8964"
2025-02-09,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,57,0,0,,"4269,3869,4264,0369,3169,3864,4069,4869,2069,3569,0364,1169,2269,3164,3269,1869,4064,4864,4169,2064,3564,3369,4369,1164,2264,2769,3264,1669,1864,3769,4769,4164,6169,3669,3364,4364,2764,0069,1664,1569,1769,3764,4764,0769,6164,3664,0669,0064,1564,1764,0764,6369,8269,9269,8169,0664,3069,4469,1269,4569,6669,6364,0269,5269,8264,9264,8569,9569,0169,1069,1369,2169,8164,4669,3064,4464,1264,0869,2369,2869,5069,4564,6664,0264,5264,0569,2569,8564,9564,0164,1064,1364,2164,4664,6269,2669,0864,2364,2864,5064,0564,2564,6069,6869,6264,9169,2664,6569,6769,7569,3469,8069,8369,8869,9069,9369,9869,9469,6064,6864,8769,9769,1469,5169,9164,6564,6764,7564,3464,8669,9669,8064,8364,8864,9064,9364,9864,0469,2469,5369,5869,9464,5569,5769,8764,9764,1464,5164,7269,5669,8664,9664,0464,2464,5364,5864,7169,5564,5764,6469,7069,7369,7869,7264,5664,7769,7164,8469,7669,6464,7064,7364,7864,7764,5469,8464,7664,3969,4969,5464,1969,3964,4964,0969,2969,7469,1964,0964,2964,7464,6969,8969,9969,6964,5969,8964,9964,5964,7969,7964"
2025-02-11,365,200,2,2,0.5,top3,top3,True,False,0.0,0,1.0,1.0,1.0,60,0,0,,"4269,3869,0369,4264,3169,4869,3864,4069,2069,2269,3569,0364,3269,1169,1869,3164,4864,4169,2769,4064,3369,3769,4369,4769,2064,2264,3564,1669,3264,1164,1864,0869,0069,0769,1769,6169,3669,4164,2764,1569,3364,3764,4364,4764,1664,8269,0669,0864,0064,0764,1764,6164,3664,8169,9269,1564,6369,8769,8264,0664,0269,1269,8569,3069,4469,5269,7269,4569,6669,8164,0169,9264,9569,6364,8764,1069,1369,2169,2869,4669,0264,1264,2369,5069,8564,0569,3064,4464,5264,7264,2569,7569,4564,6664,6269,0164,9564,2669,1064,1364,2164,2864,4664,6869,8869,2364,5064,0564,6069,6769,8069,8369,2564,7564,6264,9169,9869,6569,3469,2664,9069,9369,9469,9769,8669,6864,8864,6064,6764,8064,8364,0469,1469,5169,5869,7169,7869,9669,9164,9864,2469,5369,5769,7069,7369,7769,6564,3464,9064,9364,9764,9464,5569,8664,5669,7669,0464,1464,5164,5864,7164,7864,9664,2464,5364,5764,7064,7364,7764,6469,8469,5564,5664,7664,6464,8464,5469,7469,3969,4969,0969,1969,5464,7464,2969,3964,4964,0964,1964,2964,6969,8969,9969,6964,8964,5969,7969,9964,5964,7964"
